OrgName,OrgWebSite,OrgEmail,lat,lon
Juniper Park Civic Association,junipercivic.com,Info@junipercivic.com,-73.88012859167569,40.718203738022986
Narrows Botanical Garden,narrows bg.org,,-74.03676164565752,40.637229159846044
Lower Raritan Watershed Partnership,lowerraritanwatershed.org,hfenyk@lowerraritanwatershed.org,-74.45184842317894,40.48614700404002
Waterfront Alliance,waterfrontalliance.org,info@waterfrontalliance.or,-74.00316125239276,40.70743354495228
Baldwin Learning Center (BLC) Coalition,wittseminar.blogspot.com,raypultinas@gmail.com,-73.88740557942356,40.88131570680416
North Pacific Garden,,,-73.9821291604874,40.685262548020496
Green Park Gardeners NY,,greenparkgardenersnyc@gmail.com,-73.95739856389679,40.759631732646554
Friends of Arverne,friendsofarverne.org,info@friendsofarverne.org,-73.79778862589237,40.59264175990869
Green Map NYC,GreenMapNYC.org,apple@greenmap.org,-73.97976855935107,40.721131740735316
Montefiore Park Neighborhood Association,montrfiorepark.org,Montefiorepark137@gmail.com,-73.95423856143812,40.82096172053321
Fifth Street Farm,5thstreetfarm.org,fanderson@5thstreetfarm.org,-73.98164855890714,40.724011740197234
Gotham Coyote Project,gothamcoyote.com,,-73.97393855799025,40.781511728857346
Kelly Street Garden,facebook.com/kellyst.garden/,kellystgreen@gmail.com,-73.89597857976163,40.82031171844261
Gotham Whale,gothamwhale.org,,-74.07603353395453,40.64167176027715
The South Bronx Overall Econonomic Development Corp (SoBRO),sobro.org,ddavis@sobro.org,-73.91668857343224,40.815749720669416
Jewish Community Center of Staten Island,,,-74.12525852016499,40.5951377706487
Garden Kitchen Lab,gardenkitchenlab.wordpress.com,Fabiola.Caceres.us@gmail.com,-73.93486857646405,40.67347174886296
Guardians of Flushing Bay,,guardiansofflushingbay@gmail.com,-73.95402856407703,40.787169727025585
Jardin la Roca,,Tlggc1998@yahoo.com,-73.91337857416617,40.823321718318724
Flatbush Development Corporation (FDC),fdconline.org,,-73.96227857015782,40.6360157568653
Flushing CSA,flushingcsa.com,flushingcsa@gmail.com,-73.83042860528847,40.760169728126634
Beverley Square East,,,-73.96292856919791,40.643571755490626
Staten Island MakerSpace,makerspace.ny,info@simakerspace.com,-74.0741585349366,40.626771762933664
Mama Dee's Garden,facebook.com/MaMaDeesGarden/,mama-dees@googlegroups.com,-74.00382855064049,40.744311737024816
Community Food Action at New Settlement Apartments,,j.podulka@newsettlement.org,-73.91500857329544,40.842326715011836
P.S. 154x Jonathan D. Hyatt School Garden,,kbrown@jdhyatt.org,-73.9263385707698,40.80809172192723
Passaic River Boat Club,passaicriverboatclub.com,,-74.18508848605434,40.83623172535509
Project TRUE,bronxzoo.com/teens/project-true/,ProjectTRUE@wcs.org,-73.88159858279164,40.853511711350485
100 Block Association of West 119th Street,west119street.org/,west119@googlegroups.com,-73.94977856386247,40.804568723267536
Family2Family Healthy Eating Community Gardening & Let's Move Seniors Exercise Project,,thisisjewels@aol.com,-73.91945857071144,40.853451712723675
Kiddie Science,KiddieScience.org,KiddieScience@gmail.com,-73.95340857147762,40.65966175187458
Lesskillsanddrills,,,-73.98610855716169,40.72073674095238
Q Gardens,qgardens.org,qgardensinfo@gmail.com,-73.96335856864506,40.65082875416661
Eastchester Gardens Resident Association,eastchestergardens.net.,eastchestergrc@verizon.net,-73.85458859090532,40.86963570737533
Earth Citizens Club at Ehrenreich-Austin Playground,,amy.long@earthcitizens.org,-73.84246860300492,40.71954173677125
Hindu Temple Society of North America,Ny ganeshtempl,Hbangera@hotmail.com,-73.81112861163092,40.74195373145158
PLG CSA,plgcsa.org,board@plgcsa.org,-73.95214857148034,40.663027751896955
Lower Raritan Watershed Partnership,lowerraritanwatershed.org,hfenyk@lowerraritanwatershed.org,-74.42671144854114,40.47653553674427
North Pacific Garden,,,-73.98222353069599,40.685128988300406
Harlem Rose Garden,,harlem-rose-garden@googlegroups.com,-73.94032856724745,40.80890572265565
The Masters of Succession Collective,moscollective.ne,,-73.98005855943987,40.72749173941991
New Settlement-Bronx Helpers,N/A,bronxhelpers@newsettlement.org,-73.91500857329544,40.842326715011836
West Cunningham Park Civic Association,,wcpca@aol.com,-73.87096859383973,40.737401734236556
Berry St. Garden,,,-73.96330856538465,40.71370674212664
Friends of Forest Park,friendsofforestpark.com,FriendsOfForestPark@yahoo.com,-73.8361886068824,40.70542873908997
Concrete Safaris,concretesafaris.org,info @ concretesafaris.org,-73.9418085665327,40.79779172496085
"Fred Samuel Resident Association, Inc.",,,-73.93841856670952,40.82046171992677
Girl Scout of Greater NY,Girlscoutofgresterny.co,,-74.00980855048796,40.70658474499694
Flowers of Hope NY,,narcisa62@aol.com,-73.7320786420622,40.66061174465899
The Brotherhood/ Sister Sol,brotherhood-sistersol.org,info@brotherhood-sistersol.org,-73.9492885629657,40.824229719594506
East New York 4 Garden,N/A,N/A,-73.87295859693383,40.66822174771326
West 88th St. Tree Project,,mine,-73.96906855847085,40.78686172748473
Rock 'n Renew,rocknrenew.com,jonny@rocknrenew.com,-73.41793871680896,41.09899464811466
Earth to City,eatthtocity.org,,-83.92662596175207,33.87540351952733
Grasmere Civic Association,N/A,Frank632@verizon.net,-74.08388853291837,40.60000576858718
Friends of Mosholu Parkland,mosholuparkland.wixsite.com/mosholu,mosholuparkland@gmail.com,-73.88424858037813,40.87499170767021
Friends of West 95th Street,sites.google.com/site/fow95street/,fow95street@gmail.com,-73.96572855933503,40.79123172660938
Snug  Harbor Cultural Center  & Botanical Garden,snug-harbor.org/education,education@snug-harbor.org,-74.06293854031352,40.59567176890131
Riverside Park Conservancy,riversideparknyc.org/,grassroots@riversideparknyc.org,-73.96437855847687,40.81077172296979
Roosevelt Island Historical Society,rihs.us,rooseveltislandhistory@gmail.com,-74.01976854882747,40.68941774826836
Greene Ave. Block Garden,,,-73.91507858092558,40.70252974243872
Coney Island Brighton Beach Open Water Swimmers,cibbows.org,,-74.01085855861852,40.57762177063392
Guild for Exceptional Children,gecbklyn.org,winefolk@2sprintmail.com,-74.02671854999662,40.63696575923933
27 Street Block Association,,Bdentz@gmail.com,-73.99818855759536,40.65876675426146
Girl Scout Troop 2337,girlscoutsnyc.org,zoodraw@aol.com,-73.96998856374155,40.69383974584392
Napela Inc,napelaNYC.org,adama@napelanyc.org,-74.11622852033541,40.63550876295398
La Casita Verde,lacasitaverde.nyc,,-73.96475856507948,40.70734674354697
Our Lady of Mercy Catholic Academy Garden Club,,,-73.85115860094297,40.71401873837775
The Academy of the Arts PS 335,,,-73.89893857949957,40.82036171858524
Downtown Brooklyn Waterfront Associstion,,,-73.98954855723639,40.703349744781704
East Side Outside Community Garden,reclaimedorganics.org/garden,eastsideoutsidegarden@gmail.com,-73.98329855740995,40.729926739245904
Stormwater Infrastructure Matters  (SWIM) Coalition,swimmablenyc.org,swimmablenyc@gmail.com,-74.00480855136674,40.723591741440714
Girl Scout Troop 5527,,girlscouttroop5527@aol.com,-74.15918851194924,40.55977577893231
PS 13,,arinn@schools.nyc.gov,-73.86853859376525,40.73769673429938
Urban Meadow,facebook.com/urbanmeadow/,urbanmeadow@gmail.com,-74.003618553817,40.68378174890187
Friends of Corlears Hook Park,friendsofcorlears.org,contact@friendsofcorlears.org,-73.97907855964108,40.71367574293222
Urban Workshop NYC,urbanworkshopnyc.org,info@urbanworkshopnyc.org,-73.94869857018682,40.710101741961246
American Littoral Society - Northeast Chapter,littoralsociety.org,don@littoralsociety.org,-73.82080861744501,40.60719175783442
Science and Resilience Institute at Jamaica Bay,srijb.org,info@srijb.org,-73.95270857371642,40.63194575778972
"The E.49th & E.48th Street Block Association of Lenox, Linden, Clarkson & Schenectady",The E.49th Street Block Association,,-73.93182857897747,40.65566975253447
Halsey Patchen Ralph Block Association,,,-73.92534857959625,40.6846017464372
El Puente/ Friends of Hope,elpuente.us,,-73.92025858012877,40.69531174370558
Friends of Thomas Greene Park,friendsofthomasgreenepark.org; atlanticave.org; atlanticavebid.org,,-73.9720785638105,40.687483747342114
Pioneer Works,pioneerworks.org,garden@pioneerworks.org,-74.01173855112775,40.67936175032741
"Community, Counseling, and Mediation/ Georgia's Place",,georgiasplace@ccmnyc.org,-73.95387856990564,40.67454474912103
Stewards of Henry Hudson Park,stewardsofhenryhudson.org,mwmason@optimum.net,-73.92020856917152,40.88281170754546
Friends of + POOL,pluspool.org,info@pluspool.org,-74.00019855356538,40.718169742232575
Garden Club of City Island,,gardenclubofcityisland@gmail.com,-73.78796861313965,40.849571709517356
Friends of the Woodhaven  Library,Friendofthewoodhavenlibrary,contact through facebook,-73.86161859943687,40.69416774187709
Curtis High School,CurtisHS.org,,-74.08118853105644,40.644736759374524
Little Friends School Elmhurst,elmhurstdaycare.com,littlefriendsschool@nyc.rr.com,-73.88070859004004,40.74530773292534
Brooklyn Kayak Guides,brooklynkayakguides.com,N/A,-73.9926785575083,40.682771749405866
